bac,brevet,lm,sup,prix,gf,pleiade,gouv
la reine morte,le temps des secrets,patrice de la tour du pin,"les aventures de télémaque, éd. classiques garnier",une poignee de gens,lettres portugaises,françois rabelais,
preface de l'histoire de ma vie,aurélien,jean claude renard,dictionnaire philosophique,mademoiselle de bois dauphin,le feu,alfred de vigny,
les conquerants,un fantôme,jean anouilh,"les misérables, éd. gallimard, coll. folio",les voleurs de beaute,grains et issues,boris pasternak,
pull-over,fables,françois mauriac,"la reine morte, le cardinal d'espagne, éd. gallimard, coll. folio",le roman du malade,le lys dans la vallee,michel foucault,
les matinaux,les vraies richesses,jean paul sartre,aliscans,sarinagara,les trois mousquetaires,philippe jaccottet,
lettre de victor hugo a juliette drouet,un sac de billes,simone de beauvoir,la sepmaine,la nuit de mougins,souvenirs d egotisme,denis diderot,
emile ou de l'education,le k,albert camus,pensées,la vie est courte et le desir sans fin,iphigenie,andre malraux,
pensees,rêves amers,julien gracq,"le barbier de séville, le mariage de figaro et la mère coupable",camille,la debâcle,karl marx,
la confession d'un enfant du siecle,c’est bien,samuel beckett,le lys dans la vallée,la souille,la jeunesse du commandeur,carlo goldoni,
macbett,le comte de monte-cristo,robbe grillet,voyage au bout de la nuit,le club des incorrigibles optimistes,histoire d une grecque moderne,pierre carlet de chamblain de marivaux,
les nevroses,marseille,nathalie sarraute,la princesse de clèves,sombre dimanche,stello,anton tchekhov,
illuminations,le lys dans la vallée,michel butor,quatrevingt-treize,les amities particulieres,les fausses confidences,eugene fromentin,
vers a danser,les enfants terribles,,le roman inachevé,l innocent,la mort d ivan illitch,milan kundera,
vrai lieu,l'armée des ombres,,les onze,jan karski,zayde,pierre drieu la rochelle,
contree,la force de l'âge,,l’astrée,suite franeaise,les nourritures terrestres suivi de les nouvelles nourritures,jean de la bruyere,
la chartreuse de parme,l’arbre à pain,,partage de midi,l adieu au roi,les perses,albert cohen,
discours preliminaire,etrangers sur la terre,,vie secrète,les portes de gubbio,crainquebille,madame de sevigne,
le vin bourru,contes pour enfants pas sages,,les rêveries du promeneur solitaire,naissance,les caracteres  livres v x,emmanuel de las cases,
effroyables jardins,ce qu’il advint du sauvage blanc,,méditations poétiques,la statue voilee,amok,agrippa d aubigne,
les etats et empires du soleil,enfantines,,notre-dame de paris,natalia,la naissance du jour,federico garcía lorca,
le collier de griffes,les racines du ciel,,les années,coma,renee mauperin,prosper merimee,
sensation,des mots pour la vie : contes,,le misanthrope,le reste est silence,mes haines,georges bernanos,
la robe des choses,l’armée des ombres,,vie de henry brulard,le dernier amour d aramis ou les vrais memoires du chevalier rene d herblay,anna karenine,pierre augustin caron de beaumarchais,
pouvoir tout dire,le voyageur immobile,,à rebours,la conquete de jerusalem,histoires ou contes du temps passe,michel leiris,
un certain plume,germinal,,les tragiques,l atlantide,le dernier des mohicans,pline l ancien,
reparer les vivants,le capitaine fracasse,,bérénice,les fous de bassan,flaques de verre,platon,
discours de la servitude volontaire,chronique de la rue saint-ours,,les complaintes,stupeur et tremblements,histoires de fantômes,jack london,
berenice,cannibale,,aurélien,les orgues de l enfer,la confession d un enfant du siecle,sainte beuve,
le vieux saltimbanque,lullaby,,les etats et empires de la lune,oui l espoir,contes et nouvelles en vers,jonathan swift,
la belle au bois revant,bel-ami,,la religieuse,civilisation,fables,madame de la fayette,
lettre a josephine,la frontière,,fureur et mystère,tempo,le roman d alexandre,spinoza,
je ne suis qu'un cri,les femmes au bain,,le cid,fuir,la fille du capitaine,sören kierkegaard,
la vigne et la maison,le nez sur la vitre,,le paysan parvenu,l annee de l eveil,histoire romaine,valery larbaud,
rhinoceros,la guerre des boutons,,quatrevingt-treize,heloese,manuscrit trouve à saragosse,stendhal,
l'horizon chimerique,la maison déserte,,voyage au bout de la nuit,grand louis l innocent,le horla et autres contes d angoisse,victor hugo,
un sonnet avec la maniere de s'en servir,enfance,,essais,adios,l art de briller en societe et de se conduire dans toutes les circonstances de la vie,daniel defoe,
romances sans paroles,suite française,,fables,le champ de personne,l ingenu   la princesse de babylone,francis ponge,
les oiseaux de passage,terre des hommes,,les mots,ana non,philisophie,ivan tourgueniev,
sodome et gomorrhe,la belle adèle,,les regrets,mal d amour,les voyages de gulliver,claude simon,
le livre de ma mere,ouragan,,les confessions,jour de colere,sodome et gomorrhe i,auguste de villiers de l isle adam,
les mains sales,onitsha,,aurélia,tout  tout de suite,les aventures de huckleberry finn,plutarque,
oh ! les beaux jours,l'homme à l'envers,,cahier d’un retour au pays natal,la nuit du decret,amy foster   le compagnon secret,ernest hemingway,
le spleen de paris,des grives aux loups,,les hymnes de 1555 / le second livre des hymnes de 1556,supplementla vie de barbara loden,contes et nouvelles,stefan zweig,
conversation avec les hommes ,sous les vents de neptune,,dictionnaire philosophique,le soleil des scorta,la petite roque,colette,
les heures souterraines,,,bouvard et pécuchet,journal d un cure de campagne,l île des bienheureux   une sorciere   tschandala,fenelon,
blanche ou l'oubli,,,les tragiques,qui se souvient des hommes   ,histoire comique de francion,herman melville,
lettres persanes,,,cromwell,l art franeais de la guerre,le mahabharata,theophile gautier,
la nuit de mai,,,le faiseur,le maetre d heure,le jardin de berenice,jin ping mei,
bien juger. essai sur le rituel judiciaire (2010),,,dans la solitude des champs de coton,la saison de l ombre,crime et châtiment,jean racine,
reverie de nouvel an,,,le siècle de louis xiv,les combattants du petit bonheur,barbey d aurevilly journaliste,alphonse daudet,
le cornet a des,,,britannicus / andromaque,l organisation,lucien leuwen,henri michaux,
art,,,les liaisons dangereuses,cortiz s est revolte,mario et le magicien,nicolas boileau,
macbeth,,,la prisonnière,les braban,le roman experimental,homere,
les mots,,,dom juan,evasion 44,le rouge et le noirs,alexis de tocqueville,
illusions perdues,,,le paysan parvenu,les forets de la nuit,henri d ofterdingen,nicolas malebranche,
journal,,,méditations poétiques / nouvelles méditations poétiques,le feu de l etna,histoire de charles xii,francis scott fitzgerald,
antigone,,,les soleils des indépendances,nature morte devant la fenetre,gargantua,blaise pascal,
l'argent,,,l’heptaméron des nouvelles,le commandant watrin,theâtre de clara gazul   la famille de carvajal,pierre de ronsard,
jour de colere,,,lettres choisies,instruments des tenebres,contes fantastiques,buffon,
joies d'ete,,,un barrage contre le pacifique,selinonte ou la chambre imperiale,kâma sûtra,shakespeare,
ondine,,,poésies complètes,le roi de kahel,l ange à la fenêtre d occident,charles de gaulle,
le notaire du havre,,,phèdre,pluie et vent sur telumee miracle,artamene ou le grand cyrus,nerval,
la jalousie,,,la recherche de l’absolu,e oh    e,le dernier jour d un condamne,vâlmikî,
mise en scene dephedre,,,alcools,jobadao,la traversee des apparences,miguel de cervantes,
le soleil des scorta,,,le quart livre,un royaume sous la mer,la joie de vivre,rudyard kipling,
