date,auteur,titre,fabula
1856,paul feval,madame gil blas souvenirs et aventures d une femme de notre temps,False
1856,paul feval,madame gil blas souvenirs et aventures d une femme de notre temps,False
1856,paul feval,madame gil blas souvenirs et aventures d une femme de notre temps,False
1856,paul feval,madame gil blas souvenirs et aventures d une femme de notre temps,False
1856,paul feval,madame gil blas souvenirs et aventures d une femme de notre temps,False
1856,paul feval,madame gil blas souvenirs et aventures d une femme de notre temps,False
1856,paul feval,madame gil blas souvenirs et aventures d une femme de notre temps,False
1856,paul feval,madame gil blas souvenirs et aventures d une femme de notre temps,False
1856,theophile gautier,avatar,True
1856,gerard de nerval,le marquis de fayolle,True
1856,pierre sales,le sergent renaud aventures parisiennes,False
1856,edmond auguste texier,amour et finance,False
1857,edmond about,germaine,False
1857,edmond about,le roi des montagnes,False
1857,gustave aimard,les trappeurs de l arkansas,False
1857,alexandre dumas,le meneur de loups,True
1857,alexandre dumas,les compagnons de jehu,True
1857,octave feuillet,la petite comtesse,False
1857,paul feval,le bossu,False
1857,paul feval,les compagnons du silence,False
1857,paul feval,les compagnons du silence,False
1857,paul feval,les errants de la nuit,False
1857,gustave flaubert,madame bovary,True
1857,rounat charles de la,la comedie de l amour,False
1857,du terrail pierre ponson,l heritage mysterieux,False
1857,e. quix,la journee d un philosophe,False
1857,george sand,les dames vertes,True
1857,frederic soulie,le magnetiseur,False
1857,louis ulbach,les roues sans le savoir,False
1857,louis ulbach,parents coupables memoires d un lyceen,False
1858,amedee achard,madame rose,False
1858,alexandre dumas,black,True
1858,alexandre dumas,jane,True
1858,octave feuillet,le roman d un jeune homme pauvre,False
1858,paul feval,la fabrique de mariages,False
1858,paul feval,la fabrique des mariages,False
1858,theophile gautier,le roman de la momie,True
1858,julie gouraud,les vacances d yvonne,False
1858,du terrail pierre ponson,le club des valets de coeurs,False
1858,elise de pressense,rosa,False
1858,george sand,legendes rustiques,True
1858,george sand,les beaux messieurs de bois dore,True
1858,george sand,les beaux messieurs de bois dore,True
1858,anatole henri philippe de segur,les memoires d un troupier,False
1858,comtesse de segur,les malheurs de sophie,False
1858,comtesse de segur,les petites filles modeles,False
1858,emile souvestre,scenes de la chouannerie,False
1858,eugene sue,miss mary ou l institutrice,True
1858,louis veuillot,l honnete femme,False
1859,gustave aimard,l eclaireur,False
1859,alexandre dumas,le fils du forçat,True
1859,alexandre dumas,les louves de machecoul,True
1859,alexandre dumas,sultanetta,True
1859,paul feval,la maison de pilate,False
1859,paul feval,le roi des gueux,False
1859,mathilde grangier,amour et devoir,False
1859,inconnu,les soirees du pere laurent,False
1859,felicien mallefille,monsieur corbeau,False
1859,paul de musset,lui et elle,False
1859,du terrail pierre ponson,les chevaliers du clair de lune,False
1859,du terrail pierre ponson,les exploits de rocambole,False
1859,du terrail pierre ponson,les exploits de rocambole,False
1859,du terrail pierre ponson,les exploits de rocambole,False
1859,x b. saintine,metamorphoses de la femme,False
1859,george sand,elle et lui,True
1859,comtesse de segur,les vacances,False
1859,emile souvestre,les reprouves et les elus,False
1859,emile souvestre,les reprouves et les elus,False
1859,florence strub,l ermite de vallombreuse suivi de madeleine,False
1859,louis ulbach,pauline foucault,False
1860,alfred assollant,histoire fantastique du celebre pierrot,False
1860,alexandre dumas,jacquot sans oreilles,True
1860,alexandre dumas,l horoscope,True
1860,alexandre dumas,une aventure d amour,True
1860,chatrian erckmann,contes fantastiques,False
1860,paul feval,le chevalier tenebre,False
1860,paul feval,le medecin bleu,False
1860,edmond de goncourt jules de goncourt,charles demailly,True
1860,jules noriac,la betise humaine,False
1860,ange pechmeja,rosalie nouvelle,False
1860,du terrail pierre ponson,les chevaliers du clair de lune,False
1860,d anglemont alexandre privat,paris anecdote,False
1860,aricie courbatere mme sauquet,les veillees du pensionnat,False
1860,comtesse de segur,les memoires d un ane,False
1860,louis ulbach,l ile des reves,False
1860,emilie de vars,une deception,False
1860,anduze henri vie,dernier amour de cinq mars roman historique,False
1860,pierre zaccone,une vengeance anglaise,False
1861,edmond about,le nez d un notaire,False
1861,alexandre dumas,bric a brac,True
1861,xavier eyma,aventuriers et corsaires,False
1861,edmond de goncourt jules de goncourt,sœur philomene,True
1861,aristide de gondrecourt,le pays de la peur,False
1861,aristide de gondrecourt,le pays de la peur,False
1861,aristide de gondrecourt,le pays de la peur,False
1861,charles maquet,les orages de la vie,False
1861,rene du mesnil maricourt,un coin de la vieille picardie ou les arquebusiers de senlis,False
1861,armand pommier,la benjamine,False
1861,du terrail pierre ponson,le testament de grain de sel,False
1861,jest rene de pont,le fire fly souvenirs des indes et de la chine,False
1861,maria della rocca,le roman d une femme laide,False
1861,comtesse de segur,pauvre blaise,False
1861,comtesse de veilles,sagesse et bonte livre des jeunes personnes,False
1861,fanny villars,marie et marguerite histoire du xiiie siecle,False
1862,edmond about,l homme a l oreille cassee,False
1862,alfred assollant,claude et juliette,False
1862,maxime du camp,l homme au bracelet d or,False
1862,h emile chevalier,la capitaine,False
1862,h emile chevalier,la tete plate,False
1862,h emile chevalier,les nez perces,False
1862,charles deslys,la loi de dieu,False
1862,alexandre dumas,la boule de neige,True
1862,alexandre dumas,la princesse flora,True
1862,chatrian erckmann,confidences d un joueur de clarinette,False
1862,chatrian erckmann,contes des bords du rhin,False
1862,chatrian erckmann,l invasion ou le fou yegof,False
1862,ferdinand fabre,les courbezon,False
1862,paul feval,jean diable,False
1862,paul feval,jean diable,False
1862,paul feval,les habits noirs,False
1862,gustave flaubert,salammbo,True
1862,emile gaboriau,les gens de bureau,False
1862,emile gaboriau,mariages d aventure,False
1862,charles de guise,le cap au diable,False
1862,victor hugo,les miserables,True
1862,louise leneveux,soirees en famille  lectures pour la jeunesse,False
1862,hector malot,les amants,False
1862,du terrail pierre alexis de ponson,les nuits de la maison doree,False
1862,jest rene de pont,bolino le negrier souvenirs de l ocean indien,False
1862,comtesse de segur,la soeur de gribouille,False
1862,louis ulbach,le mari d antoinette,False
1862,de l isle adam auguste villiers,isis,True
1863,amedee achard,les coups d epee de m de la guerche,False
1863,ernest capendu,marcof le malouin,False
1863,h emile chevalier,poignet d acier ou les chippiouais,False
1863,henri emile chevalier,les derniers iroquois,False
1863,chatrian erckmann,madame therese,False
1863,cesarie farrenc,la jalousie,False
1863,paul feval,la fille du juif errant,False
1863,eugene fromentin,dominique,True
1863,theophile gautier,le capitaine fracasse,True
1863,eugene nyon,la reine de jerusalem,False
1863,armand de pontmartin,les bruleurs de temples,False
1863,just jean etienne roy,un tableau de la sainte vierge,False
1863,comtesse de segur,les deux nigauds,False
1863,marie de solms,mademoiselle million,False
1863,d ambroyse valentine vattier,claire de rives,False
1863,jules verne,cinq semaines en ballon,True
1863,pierre zaccone,une haine au bagne,False
1864,gustave aimard,le guaranis,False
1864,d aurevilly jules barbey,le chevalier des touches,True
1864,d aurevilly jules barbey,un pretre marie,True
1864,jenny bastide,le monstre,False
1864,ernest boissieres,un crime inconnu,False
1864,ernest capendu,le marquis de loc ronan,False
1864,h emile chevalier,peaux rouges et peaux blanches,False
1864,alexandre dumas,la san felice,True
1864,chatrian erckmann,histoire d un conscrit de 1813,False
1864,chatrian erckmann,l ami fritz,False
1864,emile gaboriau,l argent des autres,False
1864,edmond de goncourt jules de goncourt,renee mauperin,True
1864,edmond et jules de goncourt,germinie lacerteux,True
1864,alexandre de lavergne,la famille de marsal,False
1864,armand de melun,histoire d un village,False
1864,lacuzon jules prost,la tour aux viperes chronique jurassienne du xve siecle,False
1864,charles de ribelle,les confidences de gribouille,False
1864,adrien robert,le combat de l honneur,False
1864,george sand,laura,True
1864,george sand,le marquis de villemer,True
1864,comtesse de segur,françois le bossu,False
1864,louis ulbach,memoires d un inconnu,False
1864,jules verne,le comte de chanteleine ,True
1864,jules  verne,voyage au centre de la terre,True
1865,gustave auriac jules berlioz d  aimard,les pieds fourchus,False
1865,gustave aimard,le montonero,False
1865,gustave aimard,les bohemes de la mer,False
1865,h emile chevalier,l enfer et le paradis de l autre monde,False
1865,alexandre dumas,le comte de moret,True
1865,chatrian erckmann,histoire d un homme du peuple,False
