,doc_name,date,auteur,titre,canon_roman,canon_auteur,gender,bac,brevet,lm,sup,prix,gf,pleiade,gouv
136,1840_Replat-Jacques_Le-sanglier-de-la-foret-de-Lonnes-esquisse-du-comte-de-S_voie-a-la-fin-du-XIVe-siecle-(1876),1840,jacques replat,le sanglier de la foret de lonnes esquisse du comte de s,non_canon,False,male,0,0,0,0,0,0,0,0
137,1840_Sand-George_Pauline,1840,george sand,pauline,canon,True,female,1,0,1,0,0,0,1,0
138,1841_Barbey-d-Aur_villy-Jules_L-amour-impossible,1841,d aur barbey,villy jules,non_canon,True,male,0,0,0,0,0,0,0,0
139,1841_Sand-Georges_Le-compagnon-du-tour-de-France_tome-2,1841,georges sand,le compagnon du tour de france,non_canon,True,female,0,0,0,0,0,0,0,0
140,1841_Sand-George_Le-compagnon-du-tour-de-France_tome-1,1841,george sand,le compagnon du tour de france,non_canon,True,female,0,0,1,0,0,0,1,0
141,1841_Sand-George_Un-hiver-a-Majorque,1841,george sand,un hiver a majorque,non_canon,True,female,0,0,1,0,0,0,1,0
142,1842_Balzac-Honore-de_Albert-SavarusFC,1842,honore de balzac,albert savarusfc,non_canon,True,male,0,0,1,0,0,0,1,0
143,1842_Balzac-Honore-de_Beatrix,1842,honore de balzac,beatrix,canon,True,male,0,0,1,0,0,0,1,0
144,1842_Balzac-Honore-de_Etude-de-femme,1842,honore de balzac,etude de femme,non_canon,True,male,0,0,1,0,0,0,1,0
145,1842_Balzac-Honore-de_La-Bourse,1842,honore de balzac,la bourse,non_canon,True,male,0,0,1,0,0,0,1,0
146,1842_Balzac-Honore-de_La-Fausse-Maitresse,1842,honore de balzac,la fausse maitresse,non_canon,True,male,0,0,1,0,0,0,1,0
147,1842_Balzac-Honore-de_La-Femme-de-trente-ans,1842,honore de balzac,la femme de trente ans,canon,True,male,0,0,1,0,0,1,1,0
148,1842_Balzac-Honore-de_La-Maison-du-chat-qui-pelote,1842,honore de balzac,la maison du chat qui pelote,non_canon,True,male,0,0,1,0,0,0,1,0
149,1842_Balzac-Honore-de_La-Paix-du-menage,1842,honore de balzac,la paix du menage,non_canon,True,male,0,0,1,0,0,0,1,0
150,1842_Balzac-Honore-de_La-Vendetta,1842,honore de balzac,la vendetta,non_canon,True,male,0,0,1,0,0,0,1,0
151,1842_Balzac-Honore-de_Le-Bal-de-Sceaux,1842,honore de balzac,le bal de sceaux,non_canon,True,male,0,0,1,0,0,0,1,0
152,1842_Balzac-Honore-de_Le-Contrat-de-mariageFC,1842,honore de balzac,le contrat de mariagefc,canon,True,male,0,0,1,0,0,0,1,0
153,1842_Balzac-Honore-de_Madame-Firmiani,1842,honore de balzac,madame firmiani,non_canon,True,male,0,0,1,0,0,0,1,0
154,1842_Balzac-Honore-de_Memoires-de-deux-jeunes-mariees,1842,honore de balzac,memoires de deux jeunes mariees,non_canon,True,male,0,0,1,0,0,0,1,0
155,1842_Balzac-Honore-de_Une-double-familleFC,1842,honore de balzac,une double famillefc,non_canon,True,male,0,0,1,0,0,0,1,0
156,1842_Dumas-Alexandre-Pere_Le-Capitaine-Arena_Volume-1,1842,alexandre pere dumas,le capitaine arena,non_canon,True,male,0,0,0,0,0,0,0,0
157,1842_Dumas-Alexandre-Pere_Le-Capitaine-Arena_Volume-2,1842,alexandre pere dumas,le capitaine arena,non_canon,True,male,0,0,0,0,0,0,0,0
158,1842_Dumas-Alexandre_Le-Chevalier-d-Harmental,1842,alexandre dumas,le chevalier d harmental,non_canon,True,male,0,0,0,0,0,0,1,0
159,1842_Grosset-J-M._Cecilia-ou-Le-bigame-episode-d-un-voyage-en-Italie,1842,j m. grosset,cecilia ou le bigame episode d un voyage en italie,non_canon,False,male,0,0,0,0,0,0,0,0
160,1842_Hugo-Victor_Le-Rhin-I,1842,victor hugo,le rhin i,non_canon,True,male,0,0,1,0,0,0,1,0
161,1842_Hugo-Victor_Le-Rhin_Tome-III,1842,victor hugo,le rhin,non_canon,True,male,0,0,1,0,0,0,1,0
162,1842_Hugo-Victor_Le-Rhin_Tome-IV,1842,victor hugo,le rhin,non_canon,True,male,0,0,1,0,0,0,1,0
